collected_date,collected_at,category,category_name,product_code,product_name,price,price_text,product_url
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,101013083,MSI MAG Codex Z2 A7NVV R7-9800X3D RTX 5080 게이밍,4099680,"4,099,680원",https://prod.danawa.com/info/?pcode=101013083&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,102123782,GEEKOM A8 MAX 8745HS Win11Pro,1291500,"1,291,500원",https://prod.danawa.com/info/?pcode=102123782&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,102356327,삼성전자 데스크탑 Tower DM500THZ-AD5A Win11Pro,1261360,"1,261,360원",https://prod.danawa.com/info/?pcode=102356327&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,103182320,MSI MAG Codex Z2 A5NVN 에센셜 A02-E R5-7500F RTX 5060 Ti 게이밍,1899000,"1,899,000원",https://prod.danawa.com/info/?pcode=103182320&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,104043896,GEEKOM A6 R7-6800U Win11Pro,857600,"857,600원",https://prod.danawa.com/info/?pcode=104043896&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,104939888,다나와 게임용PC AMD R5-7400F RTX5060 S6101,1840000,"1,840,000원",https://prod.danawa.com/info/?pcode=104939888&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,104947211,다나와 게임용PC 인텔 i5-14400F RTX5060 S6102,2050000,"2,050,000원",https://prod.danawa.com/info/?pcode=104947211&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,104988596,영웅컴퓨터 영웅 게이밍울트라 7857T 7800X3D RTX5070Ti,2978800,"2,978,800원",https://prod.danawa.com/info/?pcode=104988596&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,104989550,GEEKOM A7 MAX 7940HS Win11Pro,1190000,"1,190,000원",https://prod.danawa.com/info/?pcode=104989550&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,108226358,MSI MAG Codex Z2 A5NVL A01 R5-5600 RTX 5060 Win11Home 게이밍,1368780,"1,368,780원",https://prod.danawa.com/info/?pcode=108226358&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,13546484,영웅컴퓨터 영웅 875 게이밍울트라560X R5 5600 RTX5060,1199700,"1,199,700원",https://prod.danawa.com/info/?pcode=13546484&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,18711575,영웅컴퓨터 영웅 RL3461F i5-13400F RTX5060Ti,1429730,"1,429,730원",https://prod.danawa.com/info/?pcode=18711575&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,19534361,포유컴퓨터 퍼포먼스PC 30 R7 7800X3D RTX5070,2140900,"2,140,900원",https://prod.danawa.com/info/?pcode=19534361&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,20779784,포유컴퓨터 퍼포먼스PC 37 R5 5600 RTX5060,1090410,"1,090,410원",https://prod.danawa.com/info/?pcode=20779784&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,21515228,포유컴퓨터 퍼포먼스PC 42 울트라 코어5 225,854460,"854,460원",https://prod.danawa.com/info/?pcode=21515228&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,26558177,포유컴퓨터 퍼포먼스PC 47 R5 7500F RTX5060Ti,1355800,"1,355,800원",https://prod.danawa.com/info/?pcode=26558177&cate=112756
2026-05-18,2026-05-18T15:52:11+09:00,desktop,데스크탑,28805123,피씨스토어 베스트 게이밍PC 울트라5 250K PLUS RTX 5060,1829120,"1,829,120원",https://prod.danawa.com/info/?pcode=28805123&cate=112756
