collected_at,product_code,product_name,product_url,brand,graphics,cpu,ram,ssd,operating_system,inch,weight,resolution,refresh_rate,panel,cpu_brand,cpu_model,cpu_cores,npu,graphics_type,graphics_model,graphics_memory,ram_type,ram_slots,storage_slot,wireless,battery,ports,full_spec,registration_month,fetch_status,error
2026-07-22T14:41:25+09:00,103598519,ASUS ExpertBook B3 B3605CCA-MB0349 WIN11 32GB램 (SSD 4TB),https://prod.danawa.com/info/?pcode=103598519&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS,32GB,4TB,윈도우11(설치),40.6cm(16인치),1.82kg,1920x1200(WUXGA),60Hz,,인텔,코어 울트라7(S2),,13TOPS,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.82kg / 윈도우11(설치) / [화면] 1920x1200(WUXGA) / 60Hz / 300nit / [CPU] 인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS / [그래픽] 내장그래픽 / Intel Graphics / [구성] 32GB / 램 교체: 가능 / 용량: 4TB / USB-PD / 63Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,97364780,ASUS ExpertBook B3 B3605CCA-MB0349 WIN11 32GB램 (SSD 512GB),https://prod.danawa.com/info/?pcode=97364780&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS,32GB,512GB,윈도우11(설치),40.6cm(16인치),1.82kg,1920x1200(WUXGA),60Hz,,인텔,코어 울트라7(S2),,13TOPS,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.82kg / 윈도우11(설치) / [화면] 1920x1200(WUXGA) / 60Hz / 300nit / [CPU] 인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS / [그래픽] 내장그래픽 / Intel Graphics / [구성] 32GB / 램 교체: 가능 / 용량: 512GB / USB-PD / 63Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,67622471,ASUS ExpertBook B9 B9403CVAR-KM1200 (SSD 1TB),https://prod.danawa.com/info/?pcode=67622471&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어5 / 120U (5.0GHz),16GB,1TB,OS미포함(프리도스),35.56cm(14인치),,2880x1800(WQXGA+),,,인텔,코어5,,,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 35.56cm(14인치) / 990g / OS미포함(프리도스) / [화면] 2880x1800(WQXGA+) / sRGB: 100% / 400nit / [CPU] 인텔 / 코어5 / 120U (5.0GHz) / [그래픽] 내장그래픽 / Intel Graphics / [구성] 16GB / 램 교체: 불가능 / 용량: 1TB / USB-PD / 63Wh,2024/09,ok,
2026-07-22T14:41:25+09:00,69468287,ASUS ExpertBook B9 B9403CVAR-KM1200 (SSD 2TB),https://prod.danawa.com/info/?pcode=69468287&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어5 / 120U (5.0GHz),16GB,2TB,OS미포함(프리도스),35.56cm(14인치),,2880x1800(WQXGA+),,,인텔,코어5,,,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 35.56cm(14인치) / 990g / OS미포함(프리도스) / [화면] 2880x1800(WQXGA+) / sRGB: 100% / 400nit / [CPU] 인텔 / 코어5 / 120U (5.0GHz) / [그래픽] 내장그래픽 / Intel Graphics / [구성] 16GB / 램 교체: 불가능 / 용량: 2TB / USB-PD / 63Wh,2024/09,ok,
2026-07-22T14:41:25+09:00,80151284,ASUS ExpertBook B9 B9403CVAR-KM1200 (SSD 4TB),https://prod.danawa.com/info/?pcode=80151284&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어5 / 120U (5.0GHz),16GB,4TB,OS미포함(프리도스),35.56cm(14인치),,2880x1800(WQXGA+),,,인텔,코어5,,,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 35.56cm(14인치) / 990g / OS미포함(프리도스) / [화면] 2880x1800(WQXGA+) / sRGB: 100% / 400nit / [CPU] 인텔 / 코어5 / 120U (5.0GHz) / [그래픽] 내장그래픽 / Intel Graphics / [구성] 16GB / 램 교체: 불가능 / 용량: 4TB / USB-PD / 63Wh,2024/09,ok,
2026-07-22T14:41:25+09:00,65088563,ASUS ExpertBook B9 B9403CVAR-KM1200 (SSD 512GB),https://prod.danawa.com/info/?pcode=65088563&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어5 / 120U (5.0GHz),16GB,512GB,OS미포함(프리도스),35.56cm(14인치),,2880x1800(WQXGA+),,,인텔,코어5,,,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,"노트북 / 35.56cm(14인치) / 990g / OS미포함(프리도스) / [화면] 2880x1800(WQXGA+) / sRGB: 100% / 400nit / [CPU] 인텔 / 코어5 / 120U (5.0GHz) / [그래픽] 내장그래픽 / Intel Graphics / [구성] 16GB / 램 교체: 불가능 / 용량: 512GB / USB-PD / 63Wh / 출시가: 1,699,000원",2024/09,ok,
2026-07-22T14:41:25+09:00,122721612,ASUS ExpertBook B9 Ultra B9406CAA-TG0855X (SSD 2TB),https://prod.danawa.com/info/?pcode=122721612&cate=112758,ASUS,내장그래픽 / Intel Graphics / 4코어,인텔 / 코어 울트라X7(S3) / 356H (4.7GHz) / 50TOPS,64GB,2TB,윈도우11프로,35.56cm(14인치),0.99kg,2880x1800(WQXGA+),120Hz,,인텔,코어 울트라X7(S3),,50TOPS,내장그래픽,Intel Graphics,,,램 교체,,,70Wh,USB-PD,AI노트북 / 35.56cm(14인치) / 0.99kg / 최대 26시간 / 윈도우11프로 / [화면] 2880x1800(WQXGA+) / sRGB: 100% / DCI-P3:100% / 120Hz / 450nit / [CPU] 인텔 / 코어 울트라X7(S3) / 356H (4.7GHz) / 50TOPS / [그래픽] 내장그래픽 / Intel Graphics / 4코어 / [구성] 64GB / 램 교체: 불가능 / 용량: 2TB / USB-PD / 70Wh,2026/07,ok,
2026-07-22T14:41:25+09:00,122721527,ASUS ExpertBook B9 Ultra B9406CAA-TH0762X (SSD 1TB),https://prod.danawa.com/info/?pcode=122721527&cate=112758,ASUS,내장그래픽 / Arc B390 / 12코어,인텔 / 코어 울트라X7(S3) / 358H (4.8GHz) / 50TOPS,32GB,1TB,윈도우11프로,35.56cm(14인치),1.1kg,2880x1800(WQXGA+),120Hz,,인텔,코어 울트라X7(S3),,50TOPS,내장그래픽,Arc B390,,,램 교체,,,70Wh,USB-PD,AI노트북 / 35.56cm(14인치) / 1.1kg / 최대 26시간 / 윈도우11프로 / [화면] 2880x1800(WQXGA+) / sRGB: 100% / DCI-P3:100% / 120Hz / 600nit / [CPU] 인텔 / 코어 울트라X7(S3) / 358H (4.8GHz) / 50TOPS / [그래픽] 내장그래픽 / Arc B390 / 12코어 / [구성] 32GB / 램 교체: 불가능 / 용량: 1TB / USB-PD / 70Wh,2026/07,ok,
2026-07-22T14:41:25+09:00,122721479,ASUS ExpertBook B9 Ultra B9406CAA-TH0764X (SSD 1TB),https://prod.danawa.com/info/?pcode=122721479&cate=112758,ASUS,내장그래픽 / Arc B390 / 12코어,인텔 / 코어 울트라X7(S3) / 358H (4.8GHz) / 50TOPS,32GB,1TB,윈도우11프로,35.56cm(14인치),1.1kg,2880x1800(WQXGA+),120Hz,,인텔,코어 울트라X7(S3),,50TOPS,내장그래픽,Arc B390,,,램 교체,,,70Wh,USB-PD,AI노트북 / 35.56cm(14인치) / 1.1kg / 최대 26시간 / 윈도우11프로 / [화면] 2880x1800(WQXGA+) / sRGB: 100% / DCI-P3:100% / 120Hz / 600nit / [CPU] 인텔 / 코어 울트라X7(S3) / 358H (4.8GHz) / 50TOPS / [그래픽] 내장그래픽 / Arc B390 / 12코어 / [구성] 32GB / 램 교체: 불가능 / 용량: 1TB / USB-PD / 70Wh,2026/07,ok,
2026-07-22T14:41:25+09:00,122721515,ASUS ExpertBook B9 Ultra B9406CAA-TH0857X (SSD 2TB),https://prod.danawa.com/info/?pcode=122721515&cate=112758,ASUS,내장그래픽 / Arc B390 / 12코어,인텔 / 코어 울트라X7(S3) / 358H (4.8GHz) / 50TOPS,64GB,2TB,윈도우11프로,35.56cm(14인치),1.1kg,2880x1800(WQXGA+),120Hz,,인텔,코어 울트라X7(S3),,50TOPS,내장그래픽,Arc B390,,,램 교체,,,70Wh,USB-PD,AI노트북 / 35.56cm(14인치) / 1.1kg / 최대 26시간 / 윈도우11프로 / [화면] 2880x1800(WQXGA+) / sRGB: 100% / DCI-P3:100% / 120Hz / 600nit / [CPU] 인텔 / 코어 울트라X7(S3) / 358H (4.8GHz) / 50TOPS / [그래픽] 내장그래픽 / Arc B390 / 12코어 / [구성] 64GB / 램 교체: 불가능 / 용량: 2TB / USB-PD / 70Wh,2026/07,ok,
