collected_at,product_code,product_name,product_url,screen_size,display_type,resolution,refresh_rate,hdr,smart_features,full_spec,registration_month,fetch_status,error
2026-06-27T06:20:37+09:00,18685847,스타티브이 에어리브 DA750UHD (스탠드),https://prod.danawa.com/info/?pcode=18685847&cate=10248425,75인치(190cm),LED TV,4K UHD,60Hz,HDR10,넷플릭스 / 유튜브 / 미러링 / AI음성인식,LED TV / 75인치(190cm) / 4K UHD / 주사율: 60Hz / 에너지효율: 4등급 / 2022년형 / [화질] HDR10 / [스마트] 넷플릭스 / 유튜브 / 미러링 / AI음성인식 / [규격] HDMI(전체): 3개 / 베사홀: 400x200mm / 크기(가로x세로x깊이): 1679x973(1037)x69(240)mm,2022/12,ok,
2026-06-27T06:20:37+09:00,72590078,스타티브이 에어리브 XP32H (스탠드),https://prod.danawa.com/info/?pcode=72590078&cate=10248425,32인치(81cm),LED TV,HD,60Hz,,,LED TV / 32인치(81cm) / HD / 주사율: 60Hz / 에너지효율: 1등급 / 2024년형 / [규격] HDMI(전체): 3개 / 베사홀: 200x100mm / 크기(가로x세로x깊이): 719x423.5(471.5)x81(191)mm,2024/09,ok,
2026-06-27T06:20:37+09:00,72589823,스타티브이 에어리브 XP43F (스탠드),https://prod.danawa.com/info/?pcode=72589823&cate=10248425,43인치(109cm),LED TV,FHD,60Hz,,,LED TV / 43인치(109cm) / FHD / 주사율: 60Hz / 에너지효율: 1등급 / [규격] HDMI(전체): 2개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 970x563(583)x84(238)mm,2024/12,ok,
2026-06-27T06:20:37+09:00,72590003,스타티브이 에어리브 XP55U (스탠드),https://prod.danawa.com/info/?pcode=72590003&cate=10248425,55인치(139cm),LED TV,4K UHD,60Hz,,,LED TV / 55인치(139cm) / 4K UHD / 주사율: 60Hz / 에너지효율: 1등급 / 2024년형 / [규격] HDMI(전체): 3개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1226x709(771)x78(243)mm / 무게: 11.0kg,2024/08,ok,
2026-06-27T06:20:37+09:00,16703930,시스메이트 ODW750P (본체),https://prod.danawa.com/info/?pcode=16703930&cate=10248425,75인치(189cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 75인치(189cm) / 옥외용 / 디스플레이모듈 / 4K UHD / 2022년형 / [규격] 크기(가로x세로x깊이): 1850x1270x270mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2022/03,ok,
2026-06-27T06:20:37+09:00,101070017,시스메이트 QB750S + 매직인포 네트워크 솔루션 (키오스크형),https://prod.danawa.com/info/?pcode=101070017&cate=10248425,75인치(190cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 75인치(190cm) / 실내용 / DID / 4K UHD / 2023년형 / [규격] 크기(가로x세로x깊이): 1015x2090x560mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2023/02,ok,
2026-06-27T06:20:37+09:00,32034839,시스메이트 QBC430S (키오스크형),https://prod.danawa.com/info/?pcode=32034839&cate=10248425,43인치(108cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 43인치(108cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 585x1900x498mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,31977515,시스메이트 QBC550S (키오스크형),https://prod.danawa.com/info/?pcode=31977515&cate=10248425,55인치(139cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 55인치(139cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 740x1900x468mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,32034977,시스메이트 QBC650S (키오스크형),https://prod.danawa.com/info/?pcode=32034977&cate=10248425,65인치(164cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 65인치(164cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 900x1940x498mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,32035031,시스메이트 QBC750S (키오스크형),https://prod.danawa.com/info/?pcode=32035031&cate=10248425,75인치(189cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 75인치(189cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 1015x2090x560mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,94445273,시스메이트 QBC750S + 매직인포 네트워크 솔루션 (키오스크형),https://prod.danawa.com/info/?pcode=94445273&cate=10248425,75인치(189cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 75인치(189cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 1015x2090x560mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,19009259,시스메이트 QH750S (키오스크형),https://prod.danawa.com/info/?pcode=19009259&cate=10248425,75인치(189cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 75인치(189cm) / 실내용 / DID / 4K UHD / 2023년형 / [규격] 크기(가로x세로x깊이): 1015x2090x560mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2023/02,ok,
2026-06-27T06:20:37+09:00,100617710,시스메이트 QH750S + 매직인포 네트워크 솔루션 (키오스크형),https://prod.danawa.com/info/?pcode=100617710&cate=10248425,75인치(189cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 75인치(189cm) / 실내용 / DID / 4K UHD / 2023년형 / [규격] 크기(가로x세로x깊이): 1015x2090x560mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2023/02,ok,
2026-06-27T06:20:37+09:00,31958216,시스메이트 QHC430S (키오스크형),https://prod.danawa.com/info/?pcode=31958216&cate=10248425,43인치(109cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 43인치(109cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 585x1900x498mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,31958255,시스메이트 QHC500S (키오스크형),https://prod.danawa.com/info/?pcode=31958255&cate=10248425,50인치(127cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 50인치(127cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 691x1900x498mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
2026-06-27T06:20:37+09:00,31958282,시스메이트 QHC550S (키오스크형),https://prod.danawa.com/info/?pcode=31958282&cate=10248425,55인치(139cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 55인치(139cm) / 실내용 / DID / 4K UHD / [규격] 크기(가로x세로x깊이): 740x1900x468mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2024/01,ok,
