product_code,product_name,2026-08-22,2026-08-21,2026-08-20,2026-08-19,2026-08-18,2026-08-17,2026-08-16,2026-08-15
97362884,맥스엘리트 STARS GEMINI 650W 80PLUS브론즈 ATX3.1 화이트,54000,54000,54000,54000,54000,54000,54000,54000
97362920,맥스엘리트 STARS GEMINI 750W 80PLUS브론즈 ATX3.1,63500,63500,63500,63500,63500,63500,63500,63500
97362938,맥스엘리트 STARS GEMINI 750W 80PLUS브론즈 ATX3.1 화이트,62640,62640,62640,62640,62640,62640,62640,62640
97363004,맥스엘리트 STARS GEMINI 850W 80PLUS브론즈 ATX3.1,74000,74000,74000,74000,74000,74000,74000,74000
97363016,맥스엘리트 STARS GEMINI 850W 80PLUS브론즈 ATX3.1 화이트,72500,72500,72500,72500,72500,72500,72500,72500
31338233,몬스타 가츠 ExtremeX FX500 80PLUS스탠다드,34790,34790,34790,34790,34790,34790,34790,34790
30255296,몬스타 가츠 ExtremeX FX600 80PLUS스탠다드,37500,37500,37500,38000,38000,38000,38000,38000
30267548,몬스타 가츠 ExtremeX FX700 80PLUS스탠다드,40230,40230,40230,40230,40230,40230,40730,40730
39103484,몬스타 가츠 ExtremeX FX700 80PLUS스탠다드 화이트,46150,46150,46150,46150,46150,46150,46150,46150
30273785,몬스타 가츠 ExtremeX FX800 80PLUS스탠다드,46000,46000,46000,46000,46500,46500,46500,46500
39103550,몬스타 가츠 ExtremeX FX800 80PLUS스탠다드 화이트,50630,50630,50630,50630,50630,50630,50630,50630
70619351,몬스타 가츠 MASTERX X1000W 80PLUS골드 블랙,120210,120210,119710,120210,120210,120210,120210,120210
70619387,몬스타 가츠 MASTERX X1000W 80PLUS골드 화이트,127490,127490,127490,127490,127490,127490,127490,127490
60425312,몬스타 가츠 MASTERX X750W 80PLUS브론즈 ATX3.1,53490,53490,53490,53490,53490,53490,53490,53490
61417925,몬스타 가츠 MASTERX X750W 80PLUS브론즈 ATX3.1 화이트,55490,55490,55490,55490,55990,55990,55990,55490
70764557,몬스타 가츠 MASTERX X850W 80PLUS골드 블랙,107730,107730,107730,107730,107730,107730,107730,108230
70764560,몬스타 가츠 MASTERX X850W 80PLUS골드 화이트,92400,107730,107730,107730,107730,107730,107730,108230
61842290,몬스타 가츠 MASTERX X850W 80PLUS브론즈 ATX3.1,61550,61550,61550,61550,61550,61550,61550,61550
61842320,몬스타 가츠 MASTERX X850W 80PLUS브론즈 ATX3.1 화이트,63900,63900,63900,63900,63900,63900,63900,63900
94080824,몬스타 가츠 PrimeX X500W 83 FLAT,27900,27900,27900,27900,27900,27900,27900,27900
94088147,몬스타 가츠 PrimeX X600W 83 FLAT,32990,32990,32990,32990,32990,32990,32990,32990
111755452,민웰 SMPS NES-100 12V,15470,15470,15470,15470,15470,15470,15470,15470
113651992,민웰 SMPS SE-600,98100,98100,98100,98100,98100,98100,98100,98100
9791946,비콘즈 SPACE SP-700W 80PLUS스탠다드 벌크,52080,52080,52080,52080,52080,52080,52080,52080
15709028,삼성전자 PSD-350DHGB (중고),38210,38210,38210,38210,38210,38210,38210,38210
14630879,성주컴텍 SJ-N1600 벌크,49000,49000,49000,49000,49000,49000,49000,49000
6025468,셀텍 LR1010 DC to DC 180W 19V/4.74A 90W 어댑터 포함,49000,49000,49000,49000,49000,49000,49000,49000
6025471,셀텍 LR1010 DC to DC 180W 19V/5.5A 105W 어댑터 포함,53990,53990,53990,53990,53990,53990,53990,53990
30308831,셀텍 LR1010 DC to DC 180W 19V/6.32A 120W 어댑터 포함,60990,60990,60990,60990,60990,60990,60990,60990
6025473,셀텍 LR1010 DC to DC 180W 19V/9.5A 180W 어댑터 포함,71990,71990,71990,69490,71990,71990,71990,69490
2180529,셀텍 LR1010 DC to DC 180W 24V/5A 120W 어댑터 포함,61000,61000,61000,61000,61000,61000,61000,61000
2591232,셀텍 LR1010 DC to DC 180W 24V/7A 168W 어댑터 포함,71990,71990,71990,69490,71990,71990,71990,69490
2180509,셀텍 LR1010 DC to DC 180W 어댑터 미포함,31990,31990,31990,31990,31990,31990,31990,31990
93628727,셀텍 LR1010 DC to DC 200W 19.5V/4.62A 90W 어댑터 포함,50990,50990,50990,50990,50990,50990,50990,50990
93628748,셀텍 LR1010 DC to DC 200W 19V/6.32A 120W 어댑터 포함,62990,62990,62990,62990,62990,62990,62990,62990
93628757,셀텍 LR1010 DC to DC 200W 19V/9.5A 180W 어댑터 포함,73990,73990,73990,73990,73990,73990,73990,73990
93628694,셀텍 LR1010 DC to DC 200W 어댑터 미포함,34000,34000,34000,34000,34000,34000,34000,34000
2923222,셀텍 LR1108 150W Plug Type 102W 파워어댑터 포함,48500,48500,48500,48500,48500,48500,48500,48500
13376144,셀텍 LR1108 150W Plug Type 120W 파워어댑터 포함,53990,53990,53990,53990,53990,53990,53990,53990
2923217,셀텍 LR1108 150W Plug Type 60W 파워어댑터 포함,36500,36500,36500,36500,36500,36500,36500,36500
2923220,셀텍 LR1108 150W Plug Type 72W 파워어댑터 포함,48500,48500,48500,48500,48500,48500,48500,48500
2923215,셀텍 LR1108 150W Plug Type 파워어댑터 미포함,24490,24490,24490,24490,24490,24490,24490,24490
93628955,셀텍 LR1108 160W Plug Type 102W 파워어댑터 포함,49990,49990,49990,49990,49990,49990,49990,49990
93628961,셀텍 LR1108 160W Plug Type 120W 파워어댑터 포함,54990,54990,54990,54990,54990,54990,54990,54990
93628970,셀텍 LR1108 160W Plug Type 150W 파워어댑터 포함,67990,67990,67990,67990,67990,67990,67990,67990
93628949,셀텍 LR1108 160W Plug Type 60W 파워어댑터 포함,37000,37000,37000,37000,37000,37000,37000,37000
93628913,셀텍 LR1108 160W Plug Type 파워어댑터 미포함,26000,26000,26000,26000,26000,26000,26000,26000
13369664,셀텍 LR1204 DC to DC 120W 12V/10A 120W 어댑터 포함,48800,48800,48800,48800,48800,48800,48800,48800
