product_code,product_name
100449284,GIGABYTE G5 GE WIN11 16GB램 (SSD 3TB)
100449287,GIGABYTE G5 GE WIN11 16GB램 (SSD 4TB)
100449299,GIGABYTE G5 GE WIN11 32GB램 (SSD 512GB)
100449302,GIGABYTE G5 GE WIN11 32GB램 (SSD 1TB)
100449305,GIGABYTE G5 GE WIN11 32GB램 (SSD 2TB)
100449308,GIGABYTE G5 GE WIN11 32GB램 (SSD 3TB)
100449311,GIGABYTE G5 GE WIN11 32GB램 (SSD 4TB)
100449314,GIGABYTE G5 GE WIN11 64GB램 (SSD 512GB)
100449317,GIGABYTE G5 GE WIN11 64GB램 (SSD 1TB)
100449320,GIGABYTE G5 GE WIN11 64GB램 (SSD 2TB)
100449323,GIGABYTE G5 GE WIN11 64GB램 (SSD 4TB)
100449326,GIGABYTE G5 GE WIN11 64GB램 (SSD 3TB)
100450310,ASUS ExpertBook P3 PM3606CKA-MB0223 (SSD 1TB)
100450328,ASUS ExpertBook P3 PM3606CKA-MB0223 (SSD 2TB)
100620635,레노버 LOQ 15IRX11 i5 5060 WIN11 32GB램 (SSD 512GB)
100620641,레노버 LOQ 15IRX11 i5 5060 WIN11 32GB램 (SSD 1TB)
100620644,레노버 LOQ 15IRX11 i5 5060 WIN11 32GB램 (SSD 2TB)
100620650,레노버 LOQ 15IRX11 i5 5060 WIN11 32GB램 (SSD 4TB)
100622723,에이서 니트로 V 16S AI ANV16S-41-R9SV (SSD 1TB)
100622729,에이서 니트로 V 16S AI ANV16S-41-R9SV (SSD 2TB)
100622750,에이서 니트로 V 16S AI ANV16S-41-R9SV 32GB램 (SSD 512GB)
100622756,에이서 니트로 V 16S AI ANV16S-41-R9SV 32GB램 (SSD 1TB)
100622759,에이서 니트로 V 16S AI ANV16S-41-R9SV 32GB램 (SSD 2TB)
100622765,에이서 니트로 V 16S AI ANV16S-41-R9SV 32GB램 (SSD 4TB)
100622783,에이서 니트로 V 16S AI ANV16S-41-R9SV 64GB램 (SSD 512GB)
100622786,에이서 니트로 V 16S AI ANV16S-41-R9SV 64GB램 (SSD 1TB)
100622792,에이서 니트로 V 16S AI ANV16S-41-R9SV 64GB램 (SSD 2TB)
100622798,에이서 니트로 V 16S AI ANV16S-41-R9SV 64GB램 (SSD 4TB)
100622831,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 (SSD 512GB)
100622837,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 (SSD 1TB)
100622849,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 32GB램 (SSD 512GB)
100622852,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 32GB램 (SSD 1TB)
100622858,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 32GB램 (SSD 2TB)
100622861,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 32GB램 (SSD 4TB)
100622891,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 64GB램 (SSD 512GB)
100622900,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 64GB램 (SSD 1TB)
100622903,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 64GB램 (SSD 2TB)
100622906,에이서 니트로 V 16S AI ANV16S-41-R9SV WIN11 64GB램 (SSD 4TB)
100691186,ASUS 비보북 S M3607HA-SH113 (SSD 1TB)
100691192,ASUS 비보북 S M3607HA-SH113 (SSD 2TB)
100691195,ASUS 비보북 S M3607HA-SH113 (SSD 3TB)
100691198,ASUS 비보북 S M3607HA-SH113 WIN11 (SSD 512GB)
100691201,ASUS 비보북 S M3607HA-SH113 WIN11 (SSD 1TB)
